topic,advice,aug_type
Путешествия,"🔮Пусть твои путешествия будут более интересными, чем последний эпизод любимого твоего сериала.",original
Путешествия,"🔮Наслаждайся путешествиями, мой друг, и не бойся тайных знаний, которые они несут.",alternative
Здоровье,"🔮Что касается здоровья, мой совет заключается в том, чтобы считать свое тело ценнейшим.",original
Здоровье,"🔮Осознанно относитесь к своему здоровью, стараясь поддерживать баланс между физическими, умственными и эмоциональным.",with_context
Здоровье,"🔮Когда речь заходит о здоровье, мой совет заключается в том, чтобы относиться к своему телу как к самому драгоценному.",paraphrase
Здоровье,🔮Отдохнуть и продолжить работу потом будет намного лучше.,original
Здоровье,"🔮Отдохнуть и продолжить работу позже — это будет гораздо более продуктивно.",paraphrase
Здоровье,🔮Отдохнуть и продолжить работу потом будет намного лучше.,paraphrase
Здоровье,🔮Отдохнуть теперь и сделать работу потом будет намного лучше.,paraphrase
Что приготовить,"🔮Найди вазу и посмотри, что там.",original
Что приготовить,"🔮В мире магии и тайн, когда ты одинок и задумчив, ищешь свой путь, ищешь знания и силу, приготовь сердце и разум к величию.",alternative
Что приготовить,"🔮Открой сосуд и внимательно осмотри внутренности.",paraphrase
Что приготовить,"🔮Открой сосуд и поищи внутри.",paraphrase
Здоровье,🔮Отдохнуть и продолжить работу с новой силой поможет время в компании друзей.,original
Здоровье,"🔮Здоровье — одно из самых важных аспектов жизни, от которого зависит наше общее состояние и успешность в различных областях деятельности.",with_context
Здоровье,"🔮Отдохнуть и обновиться, чтобы продолжить работу с полной силой, вы сможете в хорошей компании друзей.",paraphrase
Что приготовить,🔮Приготовь себе вкуснейший тост с авокадо и йогуртом.,original
Что приготовить,"🔮Приготовьтесь к тайной встрече с прошлым, которая изменит ваше будущее.",alternative
Что приготовить,"🔮Приготовление тоста с авокадо и йогуртом является идеальным выбором для обеспечения здорового питания и улучшения вкуса.",with_context
Что приготовить,"🔮Приготовьте магический кошелёк, который будет наполняться деньгами, когда вы будете думать о них.",alternative
Семья,"🔮Открой семейную библиотеку и найди там книгу, о которой раньше не знал.",original
Семья,"🔮Семья — это не просто кров, это истинная сила, которая сохраняет нас на протяжении всей жизни.",alternative
Здоровье,"🔮Отложи дела и наслаждайся спокойным временем. Здоровье требует внимания и заботы.",original
Здоровье,"🔮Здоровье — это состояние гармонии между телом, душой и разумом.",alternative
Здоровье,"🔮Здоровье — одно из основных качеств, которое обеспечивает нам возможность вести активную жизнь и активности.",with_context
Дети,🔮Ты на своём месте.,original
Дети,🔮Ты на верном пути.,paraphrase
Дети,"🔮Вы должны отыскать источник своего внутреннего смирения, которое медленно, но верно превращается в силу.",alternative
Выходные,"🔮Что бы ни случилось, делись с друзьями.",original
Выходные,"🔮Независимо от того, что произойдет, делитесь с друзьями.",paraphrase
Выходные,"🔮Ничто не помешает тебе, делись с друзьями.",paraphrase
Здоровье,"🔮Отдых — это ключ к здоровью. Не забывай делать перерывы, чтобы тело и ум могли восстановиться.",original
Здоровье,"🔮Здоровье — это один из основных факторов успешности в жизни, и отдых является важным компонентом для его поддержания.",with_context
Еда,🔮Насладись процессом приготовления пищи.,original
Еда,🔮Позволь себе наслаждаться процессом приготовления еды.,paraphrase
Деньги,"🔮Открой глаза и посмотри вокруг. Деньги — это всего лишь инструмент, которым управляешь ты сам.",original
Деньги,"🔮Открой глаза и посмотри вокруг. Деньги — это всего лишь инструмент, которым управляешь ты сам. Они служат средством обмена, но не должны стать целью жизни.",with_context
Карьера,🔮Открой для себя новый мир возможностей.,original
Тайны,"🔮Открой для себя тайный мир, где загадки ждут своего исследователя.",original
